Date,Message
"Jan 29, 2018 ","BART recovering: 10 min delay at EMBR in SFO, MLBR and DALY dirs due to an earlier equipment prob on a train. "
"Jan 29, 2018 ",BART recovering: 10 min delay at SF stns in East Bay dir due to equip prob and police activity. 
"Jan 29, 2018 ",BART recovering: 20 min delay at SF stns in East Bay dir due to equip prob and police activity. 
"Jan 29, 2018 ",10 min delay at SF stns in East Bay dir due to equip prob and police activity. 
"Jan 29, 2018 ",10 min delay at 16TH in East Bay dir due to equip prob. 
"Jan 28, 2018 ","BART recovering: 10 min delay in downtown Oak in WARM, SFO and MLBR dirs due to police activity. "
"Jan 27, 2018 ",20 min delay at DALY in DUBL dir due to equip prob. 
"Jan 27, 2018 ",20 min delay on DUBL line in DALY dir. 
"Jan 27, 2018 ",BART recovering: 20 min delay on SF line in East Bay dir due to equip prob. 
"Jan 27, 2018 ",20 min delay on SF line in East Bay dir due to equip prob. 
"Jan 27, 2018 ",10 min delay on SF line in East Bay dir due to equip prob. 
"Jan 27, 2018 ",BART recovering: 10 min delay at ORIN in SFO dir due to equip prob. 
"Jan 27, 2018 ",10 min delay at ORIN in SFO dir due to equip prob. 
"Jan 26, 2018 ",10 min delay on MLBR line in SFO and MLBR dirs due to equip prob. 
"Jan 25, 2018 ",10 min delay at COLM in SFO and MLBR dirs due to equip prob. 
"Jan 25, 2018 ",BART recovering: 10 min delay on FRMT line in DUBL and FRMT dirs due to police activity. 
"Jan 25, 2018 ","BART recovering: 10 min delay on SF line in SFO, MLBR and DALY dirs due to person(s) on track near MONT. "
"Jan 25, 2018 ",10 min delay on SF line in East Bay dir due to wet weather conditions. 
"Jan 25, 2018 ",10 min delay in East Bay dirs due to equip prob. 
"Jan 25, 2018 ",10 min delay on SF line in East Bay dir due to equip prob. 
"Jan 24, 2018 ","BART recovering: 10 min delay at WOAK in SFO, MLBR and DALY dirs due to equip prob. "
"Jan 24, 2018 ","BART recovering: 20 min delay at WOAK in SFO, MLBR and DALY dirs due to equip prob. "
"Jan 24, 2018 ","20 min delay at WOAK in SFO, MLBR and DALY dirs due to equip prob. "
"Jan 24, 2018 ","10 min delay at WOAK in SFO, MLBR and DALY dirs due to equip prob. "
"Jan 23, 2018 ",BART recovering: 10 min delay on FRMT line in WARM dir due to equip prob. 
"Jan 23, 2018 ","BART recovering: 10 min delay at WOAK in SFO, MLBR and DALY dirs due to police activity. "
"Jan 23, 2018 ","10 min delay at WOAK in SFO, MLBR and DALY dirs due to police activity. "
"Jan 23, 2018 ",BART recovering: 20 min delay at BALB in East Bay dir due to equip prob. 
"Jan 23, 2018 ",20 min delay at BALB in East Bay dir due to equip prob. 
"Jan 23, 2018 ",10 min delay at SF stns in East Bay dir due to equip prob. 
"Jan 23, 2018 ","BART recovering: 10 min delay at SF stns in SFO, MLBR and DALY dirs due to equip prob. "
"Jan 23, 2018 ","10 min delay at SF stns in SFO, MLBR and DALY dirs due to equip prob. "
"Jan 22, 2018 ",Trains are now stopping at 16TH. Normal svc at 16th mission. 
"Jan 22, 2018 ",Trains are not stopping at 16TH due to police activity. 
"Jan 22, 2018 ","BART recovering: 10 min delay at EMBR in SFO, MLBR and DALY dirs due to an earlier equipment prob on track. "
"Jan 22, 2018 ","10 min delay at EMBR in SFO, MLBR and DALY dirs due to equip prob. "
"Jan 22, 2018 ","BART recovering: 10 min delay on SF line in SFO, MLBR, DALY and East Bay dirs due to track maint. "
"Jan 22, 2018 ","10 min delay on SF line in SFO, MLBR, DALY and East Bay dirs due to track maint. "
"Jan 20, 2018 ",BART recovering: major delay system wide. 
"Jan 20, 2018 ",BART recovering: major delay at WOAK in SFO and East Bay dirs due to police activity. 
"Jan 20, 2018 ",Major delay at WOAK in SFO and East Bay dirs due to police activity. 
"Jan 20, 2018 ",10 min delay at WOAK in SFO and East Bay dirs due to police activity. 
"Jan 20, 2018 ",Major delay between PITT and CONC due to equip prob. 
"Jan 20, 2018 ",BART recovering: earlier trains were not stopping at 19TH due to police activity. Normal svc has been returned to that stn. 
"Jan 19, 2018 ",BART recovering: 10 min delay at LAKE in RICH and DALY dirs due to police activity. 
"Jan 19, 2018 ",10 min delay at LAKE in RICH and DALY dirs due to police activity. 
"Jan 18, 2018 ","BART recovering: 10 min delay at SF and downtown Oak stns in SFO, MLBR, DALY and East Bay dirs due to police activity. "
"Jan 18, 2018 ","10 min delay at SF and downtown Oak stns in SFO, MLBR, DALY and East Bay dirs due to police activity. "
"Jan 18, 2018 ",BART recovering: 20 min delay between EMBR and WOAK in PITT and DUBL dirs due to equip prob. 
"Jan 18, 2018 ",20 min delay between EMBR and WOAK in PITT and DUBL dirs due to equip prob. 
"Jan 18, 2018 ",10 min delay at downtown SF stns in PITT and DUBL dirs due to track maint in WOAK area. 
"Jan 17, 2018 ",BART recovering: 10 min delay on FRMT line in RICH and DALY dirs due to police activity at SANL stn. 
"Jan 17, 2018 ",BART recovering: 10 min delay at downtown SF stns in PITT and DUBL dirs due to earlier track maintenance. 
"Jan 17, 2018 ",10 min delay at downtown SF stns in PITT and DUBL dirs due to track maint. 
"Jan 16, 2018 ","10 min delay at SF stns in SFO, MLBR and DALY dirs due to earlier medical emergencies on trains. "
"Jan 14, 2018 ","BART recovering: 10 min delay at EMBR in SFO, MLBR and DALY dirs due to an earlier medical emergency. "
"Jan 14, 2018 ","10 min delay at EMBR in SFO, MLBR and DALY dirs due to a medical emergency. "
"Jan 13, 2018 ","10 min delay on SF line in SFO, MLBR and East Bay dirs due to police activity at CIVC stn. "
"Jan 13, 2018 ","7 to 9 min delay on SF line in SFO, MLBR and East Bay dirs due to police activity at CIVC stn. "
"Jan 12, 2018 ",BART recovering: 10 min delay at SBRN in PITT and RICH dirs due to a medical emergency. 
"Jan 12, 2018 ",10 min delay at SBRN in PITT and RICH dirs due to a medical emergency. 
"Jan 12, 2018 ",BART recovering: normal svc has been restored to FTVL stn. 
"Jan 12, 2018 ",Trains are not stopping at FTVL stn due to police activity. 
"Jan 11, 2018 ",BART recovering: 20 min delay at PLZA in RICH dir due to police activity. 
"Jan 11, 2018 ",10 min delay at PLZA in RICH dir due to police activity. 
"Jan 10, 2018 ",BART recovering: 10 min delay at SF stns in SFO dir due to equip prob. 
"Jan 10, 2018 ",BART recovering: 10 min delay on PITT line in SFO dir due to equip prob in SF. 
"Jan 10, 2018 ","BART recovering: 10 min delay on SFO line in PITT, SFO and MLBR dirs due to equip prob. "
"Jan 10, 2018 ","10 min delay on SFO line in PITT, RICH, SFO and MLBR dirs due to equip prob. "
"Jan 10, 2018 ","BART recovering: 10 min delay at EMBR in SFO, MLBR and DALY dirs due to an earlier medical emergency. "
"Jan 10, 2018 ","BART recovering: 10 min delay at SF and peninsula stns in SFO, MLBR and East Bay dirs due to an earlier equipment prob on track at DALY. "
"Jan 10, 2018 ","10 min delay at DALY in SFO, MLBR and East Bay dirs due to equip prob. "
"Jan 10, 2018 ",10 min delay at DALY in East Bay dir due to equip prob. 
"Jan 09, 2018 ",10 min delay system wide due to earlier trains with mechanical probs and track issues in SF. 
"Jan 09, 2018 ",10 min delay on SFO line in PITT and RICH dirs due to equip prob. 
"Jan 09, 2018 ",10 min delay system wide due to police activity and track issues in SF. 
"Jan 09, 2018 ",10 min delay at PHIL in DALY dir due to equip prob. 
"Jan 09, 2018 ",BART recovering: 10 min delay on PITT line in PITT and SF dirs due to an equipment prob on trains. 
"Jan 09, 2018 ",Major delay on PITT line in PITT and SF dirs due to equipment probs on a trains. 
"Jan 09, 2018 ",Major delay at LAFY in PITT dir due to equip prob. 
"Jan 09, 2018 ",10 min delay at LAFY in PITT dir due to equip prob. 
"Jan 09, 2018 ",10 min delay on WARM line in DUBL and WARM dirs due to an earlier medical emergency at lake merrit staion. 
"Jan 08, 2018 ",BART recovering: 10 min delay on WARM line in RICH and SF dirs due to an earlier equipment prob on track. 
"Jan 08, 2018 ",10 min delay system wide due to wet weather conditions. 
"Jan 08, 2018 ","BART recovering: 20 min delay at LAKE in DUBL, WARM and FRMT dirs due to a medical emergency. "
"Jan 08, 2018 ","20 min delay at LAKE in DUBL, WARM and FRMT dirs due to a medical emergency. "
"Jan 08, 2018 ","10 min delay at LAKE in DUBL, WARM and FRMT dirs due to a medical emergency. "
"Jan 07, 2018 ",10 min delay at MACR in RICH dir due to police activity. 
"Jan 06, 2018 ","BART recovering: 10 min delay at MACR in PITT, WARM, RICH, SFO and MLBR dirs due to police activity. "
"Jan 06, 2018 ","10 min delay at MACR in PITT, WARM, RICH, SFO and MLBR dirs due to police activity. "
"Jan 06, 2018 ","BART recovering: 20 min delay at DALY on SF line in PITT, DUBL, SFO and MLBR dirs due to an earlier report of person(s) on track. "
"Jan 06, 2018 ","20 min delay at DALY on SF line in PITT, DUBL and SFO dirs due to person(s) on track. "
"Jan 05, 2018 ","10 min delay on SF line in SFO, MLBR and East Bay dirs due to a medical emergency and police activity. "
"Jan 05, 2018 ",10 min delay on SF line in East Bay dir due to a medical emergency and police activity. 
"Jan 04, 2018 ",BART recovering: 10 min delay between FRMT and UCTY in RICH and DALY dirs due to equip prob. 
"Jan 04, 2018 ","10 min delay between FRMT and UCTY in WARM, FRMT, RICH and DALY dirs due to equip prob. "
"Jan 04, 2018 ",All track inspections have been completed. No delays to report. 
"Jan 04, 2018 ",Expect major delays with our first trains this morning. Trains will be performing track inspections due to earlier seismic activity. 
"Jan 03, 2018 ",BART recovering: 10 min delay on RICH line in RICH dir due to police activity. 
"Jan 03, 2018 ",10 min delay at RICH due to police activity. 
"Jan 03, 2018 ","BART recovering: 20 min delay on SF line in SFO, MLBR and East Bay dirs due to police activity at GLEN. "
"Jan 03, 2018 ","20 min delay at GLEN on SF line in PITT, DUBL, SFO and MLBR dirs due to police activity. "
"Jan 03, 2018 ","10 min delay at GLEN on SF line in PITT, DUBL, SFO and MLBR dirs due to police activity. "
"Dec 30, 2017 ","BART recovering: 10 min delay on FRMT line in WARM, RICH and DALY dirs due to an earlier police activity. "
"Dec 30, 2017 ",10 min delay at HAYW in RICH and DALY dirs due to police activity. 
"Dec 29, 2017 ",BART recovering: 20 min delay in transbay tube in SFO dir due to equip prob. 
"Dec 29, 2017 ",BART recovering: 10 min delay in transbay tube in SFO dir due to equip prob. 
"Dec 29, 2017 ",A detailed BART service advisory has been issued: https://t.co/G8Clxd8beX 
"Dec 28, 2017 ",A detailed BART service advisory has been issued: https://t.co/G8Clxd8beX 
"Dec 26, 2017 ","BART recovering: 10 min delay at 12TH in PITT, DUBL, WARM, FRMT, RICH, SFO, MLBR and DALY dirs due to police activity. "
"Dec 26, 2017 ","10 min delay at 12TH in PITT, DUBL, WARM, FRMT, RICH, SFO, MLBR and DALY dirs due to police activity. "
"Dec 26, 2017 ",BART recovering: 10 min delay at DELN in RICH dir due to a medical emergency. 
"Dec 26, 2017 ",10 min delay at DELN in RICH dir due to a medical emergency. 
"Dec 26, 2017 ","BART recovering: 10 min delay at BALB in SFO, MLBR, DALY and East Bay dirs due to a medical emergency. "
"Dec 26, 2017 ","BART recovering: 10 min delay at BALB in SFO, MLBR and DALY dirs due to a medical emergency. "
"Dec 26, 2017 ","BART recovering: 20 min delay at BALB in SFO, MLBR and DALY dirs due to a medical emergency. "
"Dec 26, 2017 ","20 min delay at BALB in SFO, MLBR and DALY dirs due to a medical emergency. "
"Dec 26, 2017 ","10 min delay at BALB in SFO, MLBR and DALY dirs due to a medical emergency. "
"Dec 25, 2017 ","BART recovering: 10 min delay between ROCK and ORIN in PITT, SFO and MLBR dirs due to earlier track maintenance. "
"Dec 25, 2017 ","10 min delay between ROCK and ORIN in PITT, SFO and MLBR dirs due to track maint. "
"Dec 23, 2017 ",CIVC stn has reopened. All trains are stopping normally. 
"Dec 23, 2017 ","20 min delay at SF stns in PITT, DUBL, WARM, RICH, SFO and DALY dirs. "
"Dec 23, 2017 ",Stn closure at CIVC due to an equipment prob at stn. 
"Dec 23, 2017 ",BART recovering: 20 min delay at PHIL in SFO and MLBR dirs due to a medical emergency. 
"Dec 23, 2017 ",20 min delay at PHIL in SFO and MLBR dirs due to a medical emergency. 
"Dec 23, 2017 ","BART recovering: 10 min delay at SSAN in PITT, SFO and MLBR dirs due to police activity. "
"Dec 23, 2017 ","10 min delay at SSAN in PITT, SFO and MLBR dirs due to police activity. "
"Dec 22, 2017 ","BART recovering: 20 min delay at MACR in PITT, FRMT, RICH, SFO and MLBR dirs due to police activity. "
"Dec 22, 2017 ","BART recovering: 10 min delay at MACR in PITT, FRMT, RICH, SFO and MLBR dirs due to police activity. "
"Dec 22, 2017 ","10 min delay at MACR in PITT, FRMT, RICH, SFO and MLBR dirs due to police activity. "
"Dec 22, 2017 ","BART recovering: 10 min delay at SF stns in SFO, MLBR, DALY and East Bay dirs due to a medical emergency. "
"Dec 22, 2017 ","BART recovering: 20 min delay at SF stns in SFO, MLBR, DALY and East Bay dirs due to an earlier medical emergency. "
"Dec 22, 2017 ","20 min delay at SF stns in SFO, MLBR, DALY and East Bay dirs due to a medical emergency at CIVC. "
"Dec 22, 2017 ","Delay developing at SF stns in SFO, MLBR, DALY and East Bay dirs due to a medical emergency at CIVC. "
"Dec 21, 2017 ","BART recovering: 10 min delay at SF stns in SFO, MLBR, DALY and East Bay dirs due to equip prob. "
